index,Order,MS SubClass,MS Zoning,Lot Area,Lot Shape,Land Contour,Lot Config,Neighborhood,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Exter Qual,Foundation,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
200,2163,20,RL,9000,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,5,1963,1950,Gable,VinylSd,VinylSd,TA,CBlock,554.7252588,-0.001225774,490.8628383,620.3390607000001,Ex,Y,SBrkr,941,0,2358,1.001999059,-0.00199904,2,0,3,1,TA,5,0,1.998002859,381.014258,Y,0,0,7,2007,WD ,Normal,158000
3832,1862,20,RL,9600,Reg,Lvl,Inside,CollgCr,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,Gd,PConc,514.2179106000001,-0.001230055,1711.943709,1286.0110220000001,Ex,Y,SBrkr,894,0,1040,0.001999953,-0.001999087,2,0,3,1,Gd,6,0,1.998002894,384.114652,Y,0,0,11,2007,WD ,Normal,145000
4927,754,20,RL,9600,Reg,Lvl,Inside,NridgHt,1Fam,1Story,9,5,2007,2007,Hip,VinylSd,VinylSd,Gd,PConc,1596.991227,-0.001151403,511.2171965,1341.741207,Ex,Y,SBrkr,864,0,864,1.00199898,-0.0019990760000000002,2,0,3,1,Gd,7,1,2.9980151669999997,625.1403299,Y,0,0,5,2008,WD ,Normal,125000
4088,641,80,RL,9600,Reg,Lvl,Inside,OldTown,1Fam,SLvl,6,6,1976,1950,Gable,VinylSd,Plywood,TA,CBlock,586.1823527,-0.001259972,469.68584519999996,566.0696095,Gd,Y,SBrkr,864,0,864,0.001999779,-0.0019992729999999998,1,0,3,1,TA,6,0,0.998002196,193.1562753,Y,0,0,7,2006,WD ,Normal,135000
3644,754,20,RL,9600,Reg,Lvl,Inside,NoRidge,1Fam,1Story,7,5,1994,2002,Gable,VinylSd,VinylSd,Gd,PConc,1589.9460470000001,-0.001203696,484.3373516,1258.013116,Ex,Y,SBrkr,832,0,1040,1.001998452,-0.001999482,2,0,3,1,Gd,7,1,2.9980118669999998,617.9037662999999,Y,0,0,7,2007,WD ,Normal,175000
3323,126,20,RL,9600,Reg,Lvl,Inside,SawyerW,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,Gd,PConc,568.4313071,-0.001244897,1714.9808859999998,1207.230112,Ex,Y,SBrkr,894,0,864,0.0019992670000000003,-0.001998592,1,0,3,1,Gd,6,0,1.998003356,636.4718489,Y,0,0,6,2007,WD ,Normal,150000
2203,754,20,RL,6120,Reg,Lvl,Inside,MeadowV,1Fam,1Story,7,5,2008,2002,Gable,VinylSd,VinylSd,Gd,PConc,1648.359526,-0.001184671,490.00548200000003,1252.639432,Ex,Y,SBrkr,910,0,1040,1.001999432,-0.00199908,2,0,3,1,Gd,7,1,2.998004312,645.7062367999999,Y,0,0,5,2009,WD ,Normal,115000
565,1464,60,RL,16269,Reg,Lvl,Inside,Somerst,1Fam,2Story,7,5,2007,2007,Gable,VinylSd,VinylSd,Gd,PConc,1530.3920859999998,-0.001182663,497.3870966,1269.97802,Ex,Y,SBrkr,864,0,1456,1.001999442,-0.001999411,2,1,3,1,Gd,7,1,2.9980037339999996,391.0287477,Y,0,0,6,2009,WD ,Normal,125000
1386,2603,120,RL,3907,Reg,Lvl,Inside,NridgHt,TwnhsE,1Story,9,5,2006,2004,Gable,VinylSd,VinylSd,Gd,PConc,1642.7691949999999,-0.001312979,453.70264019999996,1232.2926400000001,Ex,Y,SBrkr,630,0,1728,1.001999958,-0.001999739,2,0,2,1,Gd,6,1,1.998005786,406.6259548,Y,0,0,5,2009,WD ,Normal,239000
4162,2902,20,RL,6120,Reg,Lvl,Inside,Edwards,1Fam,1Story,5,5,1954,1950,Gable,VinylSd,HdBoard,TA,PConc,0.001141645,-0.001241741,1134.107925,619.9760713,TA,Y,SBrkr,864,0,864,0.00199908,-0.001999135,1,0,3,1,TA,6,0,0.998001275,189.4158285,Y,0,0,6,2009,WD ,Normal,145000
